# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.38%  countwords_par_  libc.so.6                  [.] __strncpy_avx2
     0.37%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::setToBogus()
     0.36%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UnicodeString::~UnicodeString()@plt
     0.34%  countwords_par_  libicuuc.so.72.1           [.] res_getTableItemByKey_72
     0.33%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::operator=(icu_72::Locale&&)
     0.31%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormatSymbols::copyData(icu_72::DateFormatSymbols const&)
     0.31%  countwords_par_  libicuuc.so.72.1           [.] ulocimp_getLanguage_72(char const*, char const**, UErrorCode&)
     0.30%  countwords_par_  [kernel.kallsyms]          [k] finish_task_switch.isra.0
     0.30%  countwords_par_  [kernel.kallsyms]          [k] syscall_enter_from_user_mode
     0.30%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::IntegerWidth::truncateAt(int)
     0.28%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::parsePattern()
     0.28%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CharString::append(char const*, int, UErrorCode&)
     0.27%  countwords_par_  [kernel.kallsyms]          [k] __do_softirq
     0.27%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::DecimalFormat(icu_72::DecimalFormat const&)
     0.27%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::impl::MacroProps&&, icu_72::Locale const&)
     0.27%  countwords_par_  libicuuc.so.72.1           [.] icu_72::StringPiece::compare(icu_72::StringPiece)
