# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x000000000022bc3f
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x000000000022bc47
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000002906e0
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Normalizer2::getNFDInstance(UErrorCode&)
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Normalizer::normalize(icu_72::UnicodeString const&, UNormalizationMode, int, icu_72::UnicodeString&, UErrorCode&)
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::handleNext()
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::RuleBasedBreakIterator::~RuleBasedBreakIterator()
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::SimpleFormatter::formatAndAppend(icu_72::UnicodeString const* const*, int, icu_72::UnicodeString&, int*, int, UErrorCode&) const
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::doAppend(icu_72::UnicodeString const&, int, int)
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::doReplace(int, int, char16_t const*, int, int)
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::_fetch(UHashElement const*, icu_72::SharedObject const*&, UErrorCode&) const
     0.02%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::_inProgress(icu_72::SharedObject const*, UErrorCode) const
     0.02%  countwords_par_  libicuuc.so.72.1           [.] strcpy@plt
     0.02%  countwords_par_  libicuuc.so.72.1           [.] uprv_getRawUTCtime_72
     0.02%  countwords_par_  libicuuc.so.72.1           [.] ures_getType_72
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000105510
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000105540
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010554e
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000105559
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010a921
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010a92b
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010a973
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010ce7d
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010d123
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fbf7
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc55
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc62
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc6b
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcae
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcc6
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcc9
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fd00
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131560
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131589
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001315eb
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131729
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131732
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131770
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131774
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131795
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001321a3
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001321cb
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001350a1
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001350a6
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000135487
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001355bb
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000135726
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000135785
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000136537
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000136545
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001365ba
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001365e9
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001365fd
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013671a
     0.02%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000157820
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] __cxxabiv1::__si_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] operator delete(void*, unsigned long)
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] operator delete[](void*)
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace_aux(unsigned long, unsigned long, unsigned long, char)
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::filesystem::__cxx11::path::_List::_List(std::filesystem::__cxx11::path::_List const&)
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::filesystem::__cxx11::path::_M_split_cmpts()
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::filesystem::__cxx11::path::compare(std::filesystem::__cxx11::path const&) const
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::filesystem::__cxx11::recursive_directory_iterator::operator*() const
     0.02%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::facet::_S_destroy_c_locale(__locale_struct*&)
     0.02%  countwords_par_  libtbbmalloc.so.2.9        [.] scalable_aligned_malloc
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ____fput
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __bio_split_to_limits
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __d_add
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __do_sys_newfstatat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __folio_alloc
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __fsnotify_parent
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __get_obj_cgroup_from_memcg
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __get_task_ioprio
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __legitimize_mnt
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __mod_memcg_lruvec_state
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __rcu_read_unlock
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __rmqueue_pcplist
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __rq_qos_issue
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __wake_up_common_lock
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_close
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_fcntl
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_getdents64
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_lseek
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_newfstatat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] __x64_sys_openat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] _compound_head
     0.01%  countwords_par_  [kernel.kallsyms]          [k] _raw_read_lock
     0.01%  countwords_par_  [kernel.kallsyms]          [k] _raw_spin_lock
     0.01%  countwords_par_  [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.01%  countwords_par_  [kernel.kallsyms]          [k] aa_label_next_confined
     0.01%  countwords_par_  [kernel.kallsyms]          [k] aa_path_perm
     0.01%  countwords_par_  [kernel.kallsyms]          [k] aa_put_buffer
     0.01%  countwords_par_  [kernel.kallsyms]          [k] alloc_fd
     0.01%  countwords_par_  [kernel.kallsyms]          [k] apparmor_file_open
     0.01%  countwords_par_  [kernel.kallsyms]          [k] blk_cgroup_congested
     0.01%  countwords_par_  [kernel.kallsyms]          [k] blk_complete_reqs
     0.01%  countwords_par_  [kernel.kallsyms]          [k] call_rcu
     0.01%  countwords_par_  [kernel.kallsyms]          [k] close_fd
     0.01%  countwords_par_  [kernel.kallsyms]          [k] cp_new_stat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] crc_pcl
     0.01%  countwords_par_  [kernel.kallsyms]          [k] d_absolute_path
     0.01%  countwords_par_  [kernel.kallsyms]          [k] do_fcntl
     0.01%  countwords_par_  [kernel.kallsyms]          [k] do_isofs_readdir
     0.01%  countwords_par_  [kernel.kallsyms]          [k] do_mpage_readpage
     0.01%  countwords_par_  [kernel.kallsyms]          [k] errseq_sample
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ext4_es_lookup_extent
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ext4_fname_from_fscrypt_name
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ext4_fname_prepare_lookup
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ext4_lookup
     0.01%  countwords_par_  [kernel.kallsyms]          [k] file_free_rcu
     0.01%  countwords_par_  [kernel.kallsyms]          [k] filemap_get_entry
     0.01%  countwords_par_  [kernel.kallsyms]          [k] from_kgid_munged
     0.01%  countwords_par_  [kernel.kallsyms]          [k] from_kuid_munged
     0.01%  countwords_par_  [kernel.kallsyms]          [k] futex_wait_queue
     0.01%  countwords_par_  [kernel.kallsyms]          [k] futex_wake
     0.01%  countwords_par_  [kernel.kallsyms]          [k] generic_file_llseek
     0.01%  countwords_par_  [kernel.kallsyms]          [k] generic_file_llseek_size
     0.01%  countwords_par_  [kernel.kallsyms]          [k] generic_file_read_iter
     0.01%  countwords_par_  [kernel.kallsyms]          [k] kick_process
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ksys_lseek
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ksys_read
     0.01%  countwords_par_  [kernel.kallsyms]          [k] kthread_blkcg
     0.01%  countwords_par_  [kernel.kallsyms]          [k] ktime_get_coarse_real_ts64
     0.01%  countwords_par_  [kernel.kallsyms]          [k] lockref_get
     0.01%  countwords_par_  [kernel.kallsyms]          [k] lockref_put_return
     0.01%  countwords_par_  [kernel.kallsyms]          [k] lookup_fast
     0.01%  countwords_par_  [kernel.kallsyms]          [k] lru_gen_refault
     0.01%  countwords_par_  [kernel.kallsyms]          [k] m_next
     0.01%  countwords_par_  [kernel.kallsyms]          [k] make_vfsgid
     0.01%  countwords_par_  [kernel.kallsyms]          [k] make_vfsuid
     0.01%  countwords_par_  [kernel.kallsyms]          [k] map_id_up
     0.01%  countwords_par_  [kernel.kallsyms]          [k] mas_find
     0.01%  countwords_par_  [kernel.kallsyms]          [k] mas_prev_slot
     0.01%  countwords_par_  [kernel.kallsyms]          [k] mas_rev_awalk
     0.01%  countwords_par_  [kernel.kallsyms]          [k] mem_cgroup_handle_over_high
     0.01%  countwords_par_  [kernel.kallsyms]          [k] memcpy_orig
     0.01%  countwords_par_  [kernel.kallsyms]          [k] mutex_unlock
     0.01%  countwords_par_  [kernel.kallsyms]          [k] next_uptodate_page
     0.01%  countwords_par_  [kernel.kallsyms]          [k] our_mnt
     0.01%  countwords_par_  [kernel.kallsyms]          [k] page_remove_rmap
     0.01%  countwords_par_  [kernel.kallsyms]          [k] path_lookupat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] perf_iterate_ctx
     0.01%  countwords_par_  [kernel.kallsyms]          [k] pick_file
     0.01%  countwords_par_  [kernel.kallsyms]          [k] pick_link
     0.01%  countwords_par_  [kernel.kallsyms]          [k] prepend
     0.01%  countwords_par_  [kernel.kallsyms]          [k] rcu_core_si
     0.01%  countwords_par_  [kernel.kallsyms]          [k] rmqueue
     0.01%  countwords_par_  [kernel.kallsyms]          [k] rseq_ip_fixup
     0.01%  countwords_par_  [kernel.kallsyms]          [k] rseq_update_cpu_node_id
     0.01%  countwords_par_  [kernel.kallsyms]          [k] sbitmap_queue_clear
     0.01%  countwords_par_  [kernel.kallsyms]          [k] scsi_log_completion
     0.01%  countwords_par_  [kernel.kallsyms]          [k] security_file_permission
     0.01%  countwords_par_  [kernel.kallsyms]          [k] security_inode_permission
     0.01%  countwords_par_  [kernel.kallsyms]          [k] set_root
     0.01%  countwords_par_  [kernel.kallsyms]          [k] syscall_exit_to_user_mode
     0.01%  countwords_par_  [kernel.kallsyms]          [k] task_mm_cid_work
     0.01%  countwords_par_  [kernel.kallsyms]          [k] terminate_walk
     0.01%  countwords_par_  [kernel.kallsyms]          [k] touch_atime
     0.01%  countwords_par_  [kernel.kallsyms]          [k] try_charge_memcg
     0.01%  countwords_par_  [kernel.kallsyms]          [k] update_blocked_averages
     0.01%  countwords_par_  [kernel.kallsyms]          [k] update_group_capacity
     0.01%  countwords_par_  [kernel.kallsyms]          [k] vfs_fstatat
     0.01%  countwords_par_  [kernel.kallsyms]          [k] vfs_getattr_nosec
     0.01%  countwords_par_  [kernel.kallsyms]          [k] vma_interval_tree_insert
     0.01%  countwords_par_  [kernel.kallsyms]          [k] walk_component
     0.01%  countwords_par_  [kernel.kallsyms]          [k] wbt_wait
     0.01%  countwords_par_  [vdso]                     [.] 0x0000000000000851
     0.01%  countwords_par_  countwords_par_proftools   [.] count_words(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  countwords_par_  countwords_par_proftools   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)
     0.01%  countwords_par_  countwords_par_proftools   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator=(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [clone .isra.0]
     0.01%  countwords_par_  countwords_par_proftools   [.] std::atomic<tbb::detail::d1::list_node<unsigned long>*>& tbb::detail::d1::segment_table<std::atomic<tbb::detail::d1::list_node<unsigned long>*>, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, tbb::detail::d1::concurrent_unordered_base<tbb::detail::d1::concurrent_unordered_map_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, false> >::unordered_segment_table, 63ul>::internal_subscript<true>(unsigned long)
     0.01%  countwords_par_  countwords_par_proftools   [.] std::filesystem::__cxx11::path::_M_split_cmpts()@plt
     0.01%  countwords_par_  countwords_par_proftools   [.] std::filesystem::status(std::filesystem::__cxx11::path const&)@plt
     0.01%  countwords_par_  countwords_par_proftools   [.] std::pair<bool, unsigned long> tbb::detail::d2::internal_try_pop_impl<tbb::detail::d2::concurrent_queue_rep<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> > > >(void*, tbb::detail::d2::concurrent_queue_rep<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> > >&) [clone .isra.0]
     0.01%  countwords_par_  countwords_par_proftools   [.] unpacker(tbb::detail::d2::concurrent_queue<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >&, tbb::detail::d2::concurrent_queue<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::duration<long, std::ratio<1l, 1000000000l> >&)
     0.01%  countwords_par_  countwords_par_proftools   [.] void tbb::detail::d2::concurrent_queue<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >::internal_push<std::filesystem::__cxx11::directory_entry const&>(std::filesystem::__cxx11::directory_entry const&)
     0.01%  countwords_par_  ld-linux-x86-64.so.2       [.] _dl_check_map_versions
     0.01%  countwords_par_  ld-linux-x86-64.so.2       [.] _dl_fixup
     0.01%  countwords_par_  ld-linux-x86-64.so.2       [.] _dl_relocate_object
     0.01%  countwords_par_  ld-linux-x86-64.so.2       [.] access
     0.01%  countwords_par_  ld-linux-x86-64.so.2       [.] intel_check_word.constprop.0
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] archive_clear_error
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] archive_entry_clear
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] archive_entry_pathname_w
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] archive_read_open1
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000020cc0
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000020d32
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x000000000002470c
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x00000000000254e1
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000025605
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000025e0e
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000026046
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x00000000000271c5
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x000000000005bade
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x000000000005bb52
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000062705
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x00000000000627b1
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000065b67
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000065f40
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000066018
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000066110
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000066b75
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x0000000000069120
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x000000000006af3f
     0.01%  countwords_par_  libarchive.so.13.6.2       [.] 0x000000000009e120
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] boost::locale::generator::generate(std::locale const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] boost::locale::generator::generator()
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] boost::locale::generator::~generator()
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] boost::locale::util::get_system_locale[abi:cxx11](bool)
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] icu_72::Locale::~Locale()@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] operator new(unsigned long)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] std::codecvt<char, char, __mbstate_t>::~codecvt()@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e4b7
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e544
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e546
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e57e
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002ee3a
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002efd6
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002f000
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002f006
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002f00b
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000032b00
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000032b4b
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034680
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034690
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034b40
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034ef8
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f30
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f51
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f5f
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f65
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f7b
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000358d4
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000359b5
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000035e41
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000035fa0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000036f4b
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000037990
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000038ad4
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000038b8f
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000038c9d
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000038e25
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000039690
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000003f823
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004a9f0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004aca1
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004d210
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004d6c0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004e7f7
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004e801
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004e898
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004e89f
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004e9c0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000004f010
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000055cb0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000056968
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005697a
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000599d0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bc63
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bcd7
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bcf7
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bd5a
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bdbf
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005bebf
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005c2a0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000061eac
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000061ecd
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000061f59
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000620f8
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000622a0
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000623a3
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x00000000000657aa
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000006e8f4
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000006e8f6
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000075359
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000007537c
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000007550e
     0.01%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000007a6b8
     0.01%  countwords_par_  libboost_thread.so.1.74.0  [.] boost::detail::set_tss_data(void const*, void (*)(void (*)(void*), void*), void (*)(void*), void*, bool)
     0.01%  countwords_par_  libc.so.6                  [.] _IO_link_in
     0.01%  countwords_par_  libc.so.6                  [.] __GI__IO_un_link.part.0
     0.01%  countwords_par_  libc.so.6                  [.] __GI___getdents64
     0.01%  countwords_par_  libc.so.6                  [.] __GI___pthread_enable_asynccancel
     0.01%  countwords_par_  libc.so.6                  [.] __GI___readdir64
     0.01%  countwords_par_  libc.so.6                  [.] __fcntl64_nocancel_adjusted
     0.01%  countwords_par_  libc.so.6                  [.] __ftello64
     0.01%  countwords_par_  libc.so.6                  [.] __libc_calloc
     0.01%  countwords_par_  libc.so.6                  [.] __libc_openat64
     0.01%  countwords_par_  libc.so.6                  [.] __memcmp_avx2_movbe
     0.01%  countwords_par_  libc.so.6                  [.] __strrchr_avx2
     0.01%  countwords_par_  libc.so.6                  [.] __tz_convert
     0.01%  countwords_par_  libc.so.6                  [.] __tzset
     0.01%  countwords_par_  libc.so.6                  [.] __tzstring_len
     0.01%  countwords_par_  libc.so.6                  [.] alloc_perturb
     0.01%  countwords_par_  libc.so.6                  [.] pthread_mutex_init@@GLIBC_2.2.5
     0.01%  countwords_par_  libc.so.6                  [.] strncmp@plt
     0.01%  countwords_par_  libc.so.6                  [.] tzset_internal
