# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::impl::MacroProps&&, icu_72::Locale const&)
     0.21%  countwords_par_  libicuuc.so.72.1                    [.] uloc_getKeywordValue_72
     0.20%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::setToBogus()
     0.19%  countwords_par_  [kernel.kallsyms]                   [k] __do_softirq
     0.19%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::LocalizedNumberFormatter> const&)
     0.19%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::DecimalFormatProperties::_equals(icu_72::number::impl::DecimalFormatProperties const&, bool) const
     0.19%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000105485
     0.19%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::_Impl::_M_install_facet(std::locale::id const*, std::locale::facet const*)
     0.19%  countwords_par_  libc.so.6                           [.] _int_free_maybe_consolidate
     0.19%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::operator=(icu_72::MeasureUnit&&)
     0.19%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::AffixUtils::hasCurrencySymbols(icu_72::UnicodeString const&, UErrorCode&)
     0.19%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SharedObject::removeRef() const
     0.18%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::construct(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&, UErrorCode&)
     0.18%  countwords_par_  libicuuc.so.72.1                    [.] uprv_isASCIILetter_72
     0.18%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000105441
     0.18%  countwords_par_  libc.so.6                           [.] strlen@plt
     0.18%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::~DecimalFormat()
     0.18%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::operator=(icu_72::MeasureUnit const&)
     0.18%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::UnicodeString(icu_72::UnicodeString const&)
     0.18%  countwords_par_  libicuuc.so.72.1                    [.] u_UCharsToChars_72
