# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] get_obj_cgroup_from_current
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] get_unused_fd_flags
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] getname
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] getname_flags
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] handle_mm_fault
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] hook_file_alloc_security
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] hook_file_open
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] ima_file_check
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] init_file
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] isofs_bmap
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] isofs_bread
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] isofs_get_blocks
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] iterate_dir
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] kick_process
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] kmem_cache_free_bulk.part.0
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] lock_vma_under_rcu
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] lockref_get
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] locks_remove_posix
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] lookup_bh_lru
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] mas_next_range
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] may_open
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] mntput_no_expire
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] mod_memcg_state
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] module_put
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] mtree_range_walk
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] mutex_unlock
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] next_uptodate_page
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] open_last_lookups
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] path_lookupat
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] percpu_counter_add_batch
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] perf_iterate_ctx
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] pmd_val
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] put_pid
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] put_unused_fd
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] queue_work_on
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] rcu_do_batch
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] rcu_nocb_unlock_irqrestore.part.0
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] rmqueue
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] rock_check_overflow
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] security_file_free
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] seq_put_hex_ll
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] should_failslab
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] up_read
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] up_write
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] vfs_getattr_nosec
     0.01%  countwords_par_  [kernel.kallsyms]                   [k] zap_pte_range
     0.01%  countwords_par_  [vdso]                              [.] __vdso_clock_gettime
     0.01%  countwords_par_  [vdso]                              [.] 0x000000000000083c
     0.01%  countwords_par_  [vdso]                              [.] 0x000000000000089b
     0.01%  countwords_par_  [vdso]                              [.] 0x00000000000008bc
     0.01%  countwords_par_  [vdso]                              [.] 0x00000000000008e6
     0.01%  countwords_par_  [vdso]                              [.] 0x0000000000000ab1
     0.01%  countwords_par_  [vdso]                              [.] 0x0000000000000b75
     0.01%  countwords_par_  countwords_par_tbb                  [.] memcpy@plt
     0.01%  countwords_par_  countwords_par_tbb                  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&)
     0.01%  countwords_par_  countwords_par_tbb                  [.] std::filesystem::__cxx11::path::_M_split_cmpts()@plt
     0.01%  countwords_par_  countwords_par_tbb                  [.] std::locale::id::_M_id() const@plt
     0.01%  countwords_par_  countwords_par_tbb                  [.] tbb::detail::d1::concrete_filter<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >, void, main::{lambda(tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >)#1}>::operator()(void*)
     0.01%  countwords_par_  countwords_par_tbb                  [.] tbb::detail::d1::concrete_filter<void, std::pair<std::filesystem::__cxx11::directory_entry, bool>, main::{lambda(tbb::detail::d1::flow_control&)#1}>::operator()(void*)
     0.01%  countwords_par_  countwords_par_tbb                  [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.01%  countwords_par_  ld-linux-x86-64.so.2                [.] _dl_lookup_symbol_x
     0.01%  countwords_par_  ld-linux-x86-64.so.2                [.] get_common_cache_info.constprop.0
     0.01%  countwords_par_  ld-linux-x86-64.so.2                [.] handle_intel.constprop.0
     0.01%  countwords_par_  ld-linux-x86-64.so.2                [.] mprotect
     0.01%  countwords_par_  ld-linux-x86-64.so.2                [.] update_active.constprop.0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_new2
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_pathname
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_set_uid
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_read_new
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_read_next_header
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] archive_read_set_open_callback
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] crc32@plt
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] fcntl@plt
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000001d646
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000020d14
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000020ea9
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000024098
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000024700
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000002474d
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000247bd
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000253cc
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000255b0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000255ea
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000025612
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000002587c
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000025e00
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000025e3f
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000025edf
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000027040
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000270e8
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000271b4
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000271ca
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000028ec0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000002908e
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000029353
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000002941e
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000609cc
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000060ad9
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000060add
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000060c19
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000060cf5
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000062d00
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000062d3c
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000062dd0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000062dd6
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000066018
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000066144
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006614d
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000661a7
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000664c8
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000664ef
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000066520
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x00000000000666f8
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000066b70
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000066c40
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000069120
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006915c
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006aeb0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006aeea
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006af43
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006b23e
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006b250
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006b6b3
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000006b7c0
     0.01%  countwords_par_  libarchive.so.13.6.2                [.] 0x000000000009c0e5
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] boost::detail::set_tss_data(void const*, void (*)(void (*)(void*), void*), void (*)(void*), void*, bool)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] icu_72::DateFormat::createDateInstance(icu_72::DateFormat::EStyle, icu_72::Locale const&)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] icu_72::UnicodeString::UnicodeString(char const*, int, UConverter*, UErrorCode&)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] memcpy@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] operator delete(void*, unsigned long)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] pthread_mutex_unlock@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] std::locale::classic()@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] std::locale::locale(std::locale const&)@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] ucnv_open_72@plt
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002e566
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002e590
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002e5b5
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002ee26
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002ef15
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002ef60
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002f006
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002f04d
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002f080
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000002faa6
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000032b00
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000032b0f
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034688
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034c20
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034ef0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f23
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f2e
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f3f
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f62
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f65
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f68
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034f7b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000035850
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000003586b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000035f99
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000037990
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000379b0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000038ac0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000394e5
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000039624
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000003b97b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000003c729
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000004aa07
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000004d640
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000004d680
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000004e5a0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000004ea07
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000053510
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000055cb0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000055cc7
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000055cf3
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000055d94
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000565e9
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000056601
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000056a82
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000597a0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000059910
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000059914
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000599d0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000599d2
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000059a1b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005a266
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005a447
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005a6fc
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005a824
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005a83d
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005b210
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005b240
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005b2b0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bc63
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bd48
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bd6d
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bdc5
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005be70
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005c270
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005c2a3
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000061eac
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000061eef
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000061f52
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000061fc6
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062153
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000006237b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000623b0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062576
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062643
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062668
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000627b5
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062d70
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062d7c
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062d82
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000006570b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000065ed0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000065ed4
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000006e8f0
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000006e97b
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000007094e
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000070995
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000075340
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000007537c
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000075436
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000007a179
     0.01%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000007a593
     0.01%  countwords_par_  libboost_program_options.so.1.74.0  [.] boost::program_options::option_description::long_name[abi:cxx11]() const
     0.01%  countwords_par_  libboost_thread.so.1.74.0           [.] pthread_getspecific@plt
     0.01%  countwords_par_  libc.so.6                           [.] _IO_link_in
     0.01%  countwords_par_  libc.so.6                           [.] _IO_no_init
     0.01%  countwords_par_  libc.so.6                           [.] __GI___libc_cleanup_push_defer
     0.01%  countwords_par_  libc.so.6                           [.] __GI___pthread_enable_asynccancel
     0.01%  countwords_par_  libc.so.6                           [.] __GI___stat64
     0.01%  countwords_par_  libc.so.6                           [.] __errno_location
     0.01%  countwords_par_  libc.so.6                           [.] __fdopendir
     0.01%  countwords_par_  libc.so.6                           [.] __libc_openat64
     0.01%  countwords_par_  libc.so.6                           [.] __lll_lock_wake_private
     0.01%  countwords_par_  libc.so.6                           [.] __memmove_chk_avx_unaligned_erms
     0.01%  countwords_par_  libc.so.6                           [.] __strrchr_avx2
     0.01%  countwords_par_  libc.so.6                           [.] __tz_convert
     0.01%  countwords_par_  libc.so.6                           [.] __tzstring
     0.01%  countwords_par_  libc.so.6                           [.] dirfd
     0.01%  countwords_par_  libc.so.6                           [.] fopen@@GLIBC_2.2.5
     0.01%  countwords_par_  libc.so.6                           [.] pthread_mutex_init@@GLIBC_2.2.5
     0.01%  countwords_par_  libc.so.6                           [.] pthread_once@GLIBC_2.2.5
     0.01%  countwords_par_  libc.so.6                           [.] strlen
     0.01%  countwords_par_  libc.so.6                           [.] systrim.constprop.0
     0.01%  countwords_par_  libc.so.6                           [.] 0x000000000017d6dd
     0.01%  countwords_par_  libgcc_s.so.1                       [.] __cpu_indicator_init
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::getNow()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::createDateInstance(icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::createTimeInstance(icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::touchNoError()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Format::Format()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Format::setLocaleIDs(char const*, char const*)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Format::~Format()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::~GregorianCalendar()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::Locale(icu_72::Locale const&)@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::getKeywordValue(char const*, char*, int, UErrorCode&) const@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::operator=(icu_72::Locale&&)@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::LocaleBased::getLocale(ULocDataLocaleType, UErrorCode&) const@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::NumberFormat(icu_72::NumberFormat const&)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::setGroupingUsed(signed char)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::setMaximumFractionDigits(int)
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SharedObject::removeRef() const@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::toPattern(icu_72::UnicodeString&) const
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleFormatter::applyPatternMinMaxArguments(icu_72::UnicodeString const&, int, int, UErrorCode&)@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleTimeZone::deleteTransitionRules()
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UnicodeString::UnicodeString(signed char, icu_72::ConstChar16Ptr, int)@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UnicodeString::setToBogus()@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UnifiedCache::getInstance(UErrorCode&)@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] uprv_getUTCtime_72@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] uprv_max_72@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] ures_getByKeyWithFallback_72@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] ures_getString_72@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] ures_getType_72@plt
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112d90
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112db3
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112db7
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112dbb
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001163c4
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151acf
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000015228d
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001522b8
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000152344
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000152368
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000152427
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001606a0
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1115
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1130
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1137
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d113b
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1159
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1166
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d364e
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d36e7
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000228eaa
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000228ed4
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000228ef4
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000228f08
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bbc2
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bbd3
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bbe6
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bbee
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bbfe
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bc01
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bc10
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bc18
     0.01%  countwords_par_  libicui18n.so.72.1                  [.] 0x000000000022bc86
